date,county,state,fips,cases,deaths,new_cases
2020-03-15,San Bernardino,California,6071.0,1,0,1.0
2020-03-16,San Bernardino,California,6071.0,2,0,1.0
2020-03-17,San Bernardino,California,6071.0,3,0,1.0
2020-03-18,San Bernardino,California,6071.0,5,0,2.0
2020-03-19,San Bernardino,California,6071.0,5,0,0.0
2020-03-20,San Bernardino,California,6071.0,9,0,4.0
2020-03-21,San Bernardino,California,6071.0,9,0,0.0
2020-03-22,San Bernardino,California,6071.0,17,0,8.0
2020-03-23,San Bernardino,California,6071.0,17,0,0.0
2020-03-24,San Bernardino,California,6071.0,38,1,21.0
2020-03-25,San Bernardino,California,6071.0,54,2,16.0
2020-03-26,San Bernardino,California,6071.0,55,3,1.0
2020-03-27,San Bernardino,California,6071.0,64,3,9.0
2020-03-28,San Bernardino,California,6071.0,64,3,0.0
2020-03-29,San Bernardino,California,6071.0,111,3,47.0
2020-03-30,San Bernardino,California,6071.0,111,3,0.0
2020-03-31,San Bernardino,California,6071.0,183,6,72.0
2020-04-01,San Bernardino,California,6071.0,254,6,71.0
2020-04-02,San Bernardino,California,6071.0,304,8,50.0
2020-04-03,San Bernardino,California,6071.0,353,13,49.0
2020-04-04,San Bernardino,California,6071.0,353,13,0.0
2020-04-05,San Bernardino,California,6071.0,372,13,19.0
2020-04-06,San Bernardino,California,6071.0,530,16,158.0
2020-04-07,San Bernardino,California,6071.0,547,17,17.0
2020-04-08,San Bernardino,California,6071.0,641,20,94.0
2020-04-09,San Bernardino,California,6071.0,729,24,88.0
2020-04-10,San Bernardino,California,6071.0,810,25,81.0
2020-04-11,San Bernardino,California,6071.0,810,25,0.0
2020-04-12,San Bernardino,California,6071.0,887,31,77.0
2020-04-13,San Bernardino,California,6071.0,977,31,90.0
2020-04-14,San Bernardino,California,6071.0,977,31,0.0
2020-04-15,San Bernardino,California,6071.0,996,39,19.0
2020-04-16,San Bernardino,California,6071.0,1032,47,36.0
2020-04-17,San Bernardino,California,6071.0,1096,55,64.0
2020-04-18,San Bernardino,California,6071.0,1219,57,123.0
2020-04-19,San Bernardino,California,6071.0,1286,57,67.0
2020-04-20,San Bernardino,California,6071.0,1406,60,120.0
2020-04-21,San Bernardino,California,6071.0,1489,67,83.0
2020-04-22,San Bernardino,California,6071.0,1489,67,0.0
2020-04-23,San Bernardino,California,6071.0,1564,72,75.0
2020-04-24,San Bernardino,California,6071.0,1666,80,102.0
2020-04-25,San Bernardino,California,6071.0,1732,82,66.0
2020-04-26,San Bernardino,California,6071.0,1751,82,19.0
2020-04-27,San Bernardino,California,6071.0,1772,82,21.0
2020-04-28,San Bernardino,California,6071.0,1827,85,55.0
2020-04-29,San Bernardino,California,6071.0,1928,89,101.0
2020-04-30,San Bernardino,California,6071.0,2058,93,130.0
2020-05-01,San Bernardino,California,6071.0,2113,96,55.0
2020-05-02,San Bernardino,California,6071.0,2182,98,69.0
2020-05-03,San Bernardino,California,6071.0,2182,99,0.0
2020-05-04,San Bernardino,California,6071.0,2182,99,0.0
2020-05-05,San Bernardino,California,6071.0,2329,101,147.0
2020-05-06,San Bernardino,California,6071.0,2432,104,103.0
2020-05-07,San Bernardino,California,6071.0,2562,108,130.0
2020-05-08,San Bernardino,California,6071.0,2629,111,67.0
2020-05-09,San Bernardino,California,6071.0,2902,119,273.0
2020-05-10,San Bernardino,California,6071.0,2964,121,62.0
2020-05-11,San Bernardino,California,6071.0,3015,121,51.0
2020-05-12,San Bernardino,California,6071.0,3078,121,63.0
2020-05-13,San Bernardino,California,6071.0,3153,138,75.0
2020-05-14,San Bernardino,California,6071.0,3198,139,45.0
2020-05-15,San Bernardino,California,6071.0,3311,150,113.0
2020-05-16,San Bernardino,California,6071.0,3463,155,152.0
2020-05-17,San Bernardino,California,6071.0,3511,155,48.0
2020-05-18,San Bernardino,California,6071.0,3593,155,82.0
2020-05-19,San Bernardino,California,6071.0,3707,157,114.0
2020-05-20,San Bernardino,California,6071.0,3795,158,88.0
2020-05-21,San Bernardino,California,6071.0,3984,164,189.0
2020-05-22,San Bernardino,California,6071.0,4146,173,162.0
2020-05-23,San Bernardino,California,6071.0,4315,176,169.0
2020-05-24,San Bernardino,California,6071.0,4365,176,50.0
2020-05-25,San Bernardino,California,6071.0,4365,176,0.0
2020-05-26,San Bernardino,California,6071.0,4567,176,202.0
2020-05-27,San Bernardino,California,6071.0,4777,183,210.0
2020-05-28,San Bernardino,California,6071.0,4914,190,137.0
2020-05-29,San Bernardino,California,6071.0,5034,199,120.0
2020-05-30,San Bernardino,California,6071.0,5200,204,166.0
2020-05-31,San Bernardino,California,6071.0,5246,204,46.0
2020-06-01,San Bernardino,California,6071.0,5355,204,109.0
2020-06-02,San Bernardino,California,6071.0,5501,208,146.0
2020-06-03,San Bernardino,California,6071.0,5650,209,149.0
2020-06-04,San Bernardino,California,6071.0,5793,210,143.0
2020-06-05,San Bernardino,California,6071.0,5930,217,137.0
2020-06-06,San Bernardino,California,6071.0,6040,224,110.0
2020-06-07,San Bernardino,California,6071.0,6040,224,0.0
2020-06-08,San Bernardino,California,6071.0,6247,224,207.0
2020-06-09,San Bernardino,California,6071.0,6417,224,170.0
2020-06-10,San Bernardino,California,6071.0,6593,225,176.0
2020-06-11,San Bernardino,California,6071.0,6742,227,149.0
2020-06-12,San Bernardino,California,6071.0,6976,229,234.0
2020-06-13,San Bernardino,California,6071.0,7161,229,185.0
